brand,model,transmission,age,fuel,engine,km,owner,price,location,mileage,power,seats,type
mahindra,xuv500,manual,5.0,diesel,2179.0,45984.0,1.0,1011000.0,,,,,
jeep,compass,manual,6.0,diesel,1956.0,53738.0,2.0,968000.0,,,,,
maruti,alto,manual,3.0,petrol,796.0,8945.0,1.0,364000.0,,,,,
kia,sonet,manual,4.0,diesel,1493.0,68421.0,1.0,811000.0,,,,,
tata,nexon,manual,3.0,petrol,1199.0,8119.0,1.0,858000.0,,,,,
mg,hector,automatic,5.0,petrol,1451.0,8797.0,1.0,1338000.0,,,,,
maruti,baleno,manual,7.0,petrol,1197.0,32348.0,1.0,476000.0,,,,,
honda,city,manual,7.0,petrol,1497.0,115810.0,1.0,583000.0,,,,,
mahindra,xuv300,manual,4.0,petrol,1197.0,40924.0,1.0,681000.0,,,,,
maruti,baleno,manual,8.0,petrol,1197.0,33099.0,1.0,473000.0,,,,,
mg,hector,automatic,4.0,petrol,1451.0,66590.0,1.0,1269000.0,,,,,
hyundai,creta,manual,4.0,petrol,1497.0,80554.0,2.0,968000.0,,,,,
kia,seltos,automatic,5.0,diesel,1493.0,51955.0,1.0,1266000.0,,,,,
hyundai,creta,automatic,8.0,petrol,1591.0,61059.0,3.0,715000.0,,,,,
tata,nexon,manual,1.0,petrol,1199.0,24415.0,1.0,969000.0,,,,,
maruti,dzire,manual,6.0,petrol,1197.0,65268.0,1.0,509000.0,,,,,
maruti,swift,manual,12.0,petrol,1197.0,34096.0,1.0,256000.0,,,,,
maruti,swift,manual,2.0,petrol,1197.0,35230.0,1.0,626000.0,,,,,
toyota,glanza,automatic,5.0,petrol,1197.0,55311.0,2.0,622000.0,,,,,
hyundai,creta,manual,4.0,petrol,1497.0,61464.0,1.0,1172000.0,,,,,
kia,seltos,manual,5.0,petrol,1497.0,32251.0,1.0,1127000.0,,,,,
maruti,baleno,automatic,2.0,petrol,1197.0,27052.0,1.0,817000.0,,,,,
kia,sonet,manual,2.0,petrol,998.0,22078.0,1.0,958000.0,,,,,
jeep,compass,manual,5.0,diesel,1956.0,93467.0,1.0,930000.0,,,,,
maruti,swift,manual,6.0,petrol,1197.0,21574.0,1.0,630000.0,,,,,
maruti,alto,manual,8.0,petrol,796.0,97698.0,2.0,220000.0,,,,,
mahindra,thar,automatic,3.0,petrol,1997.0,31332.0,1.0,1318000.0,,,,,
mahindra,thar,automatic,3.0,petrol,1997.0,25411.0,1.0,1365000.0,,,,,
hyundai,creta,automatic,5.0,petrol,1591.0,69534.0,1.0,1045000.0,,,,,
hyundai,elite,manual,10.0,petrol,1197.0,87564.0,1.0,443000.0,,,,,
honda,city,manual,4.0,petrol,,35169.0,1.0,923000.0,,,,,
hyundai,grand,manual,3.0,cng,1197.0,19115.0,1.0,610000.0,,,,,
maruti,xl6,automatic,2.0,petrol,,6753.0,1.0,1294000.0,,,,,
maruti,baleno,manual,5.0,petrol,1197.0,59602.0,2.0,563000.0,,,,,
kia,seltos,manual,5.0,petrol,1497.0,64349.0,1.0,1053000.0,,,,,
maruti,ciaz,manual,2.0,petrol,1462.0,35483.0,1.0,870000.0,,,,,
hyundai,grand,manual,6.0,cng,1197.0,87009.0,2.0,464000.0,,,,,
datsun,redi,manual,3.0,petrol,799.0,36150.0,1.0,314000.0,,,,,
honda,amaze,manual,6.0,cng,,76942.0,1.0,512000.0,,,,,
maruti,vitara,automatic,3.0,petrol,1462.0,29125.0,2.0,829000.0,,,,,
honda,city,manual,12.0,petrol,1497.0,77380.0,2.0,293000.0,,,,,
tata,tiago,automatic,7.0,petrol,1199.0,102235.0,1.0,374000.0,,,,,
hyundai,creta,manual,4.0,petrol,1497.0,14693.0,1.0,1124000.0,,,,,
renault,duster,manual,3.0,petrol,1330.0,50108.0,1.0,929000.0,,,,,
hyundai,creta,manual,5.0,petrol,1591.0,17333.0,1.0,886000.0,,,,,
hyundai,creta,manual,9.0,petrol,1591.0,102963.0,3.0,569000.0,,,,,
ford,ecosport,manual,4.0,diesel,1498.0,71807.0,2.0,679000.0,,,,,
tata,tiago,manual,4.0,petrol,1199.0,53413.0,1.0,505000.0,,,,,
maruti,swift,manual,9.0,petrol,1197.0,71287.0,2.0,338000.0,,,,,
renault,duster,manual,11.0,petrol,1598.0,77978.0,3.0,314000.0,,,,,
mahindra,xuv500,manual,5.0,diesel,2179.0,56200.0,1.0,949000.0,,,,,
maruti,baleno,manual,3.0,petrol,1197.0,11344.0,1.0,574000.0,,,,,
maruti,baleno,automatic,4.0,petrol,1197.0,15673.0,1.0,746000.0,,,,,
renault,kwid,automatic,4.0,petrol,999.0,45704.0,2.0,403000.0,,,,,
hyundai,creta,manual,8.0,cng,1591.0,84938.0,2.0,681000.0,,,,,
hyundai,verna,automatic,4.0,petrol,998.0,42349.0,2.0,1057000.0,,,,,
datsun,redi,manual,6.0,petrol,799.0,30684.0,1.0,231000.0,,,,,
maruti,vitara,automatic,3.0,petrol,1462.0,57060.0,1.0,808000.0,,,,,
volkswagen,polo,manual,6.0,petrol,999.0,96717.0,2.0,488000.0,,,,,
hyundai,grand,manual,7.0,petrol,1197.0,96739.0,1.0,374000.0,,,,,
hyundai,elite,manual,9.0,petrol,1197.0,38116.0,1.0,410000.0,,,,,
maruti,baleno,manual,4.0,petrol,1197.0,25069.0,1.0,570000.0,,,,,
kia,sonet,manual,4.0,petrol,998.0,37438.0,2.0,874000.0,,,,,
kia,seltos,automatic,5.0,petrol,1353.0,49161.0,1.0,1316000.0,,,,,
tata,tigor,manual,6.0,petrol,1199.0,60364.0,1.0,430000.0,,,,,
maruti,wagon,manual,7.0,cng,,81370.0,1.0,350000.0,,,,,
tata,tigor,automatic,6.0,petrol,1199.0,97131.0,1.0,443000.0,,,,,
mahindra,thar,automatic,3.0,petrol,1997.0,30914.0,1.0,1340000.0,,,,,
mahindra,xuv500,automatic,5.0,diesel,2179.0,36660.0,1.0,1262000.0,,,,,
maruti,swift,manual,7.0,petrol,1197.0,55771.0,1.0,403000.0,,,,,
kia,seltos,automatic,5.0,petrol,1353.0,24009.0,1.0,1405000.0,,,,,
ford,ecosport,manual,4.0,diesel,1498.0,62541.0,1.0,826000.0,,,,,
hyundai,venue,manual,5.0,petrol,998.0,17536.0,1.0,850000.0,,,,,
tata,nexon,manual,2.0,petrol,1199.0,21897.0,1.0,824000.0,,,,,
hyundai,grand,manual,9.0,petrol,1197.0,96142.0,1.0,322000.0,,,,,
maruti,ignis,automatic,3.0,petrol,1197.0,38768.0,1.0,668000.0,,,,,
renault,kwid,manual,3.0,petrol,,32589.0,1.0,349000.0,,,,,
kia,sonet,manual,2.0,petrol,998.0,29811.0,1.0,1024000.0,,,,,
volkswagen,vento,automatic,6.0,petrol,1197.0,106608.0,1.0,679000.0,,,,,
hyundai,venue,manual,3.0,petrol,998.0,39415.0,1.0,886000.0,,,,,
maruti,ignis,manual,3.0,petrol,1197.0,30314.0,1.0,592000.0,,,,,
mahindra,thar,automatic,2.0,petrol,1997.0,29045.0,1.0,1397000.0,,,,,
datsun,redi,manual,3.0,petrol,799.0,15680.0,1.0,304000.0,,,,,
honda,city,manual,8.0,petrol,1497.0,97885.0,2.0,551000.0,,,,,
nissan,magnite,manual,2.0,petrol,999.0,13843.0,1.0,553000.0,,,,,
datsun,go,manual,5.0,petrol,1198.0,30616.0,1.0,411000.0,,,,,
maruti,baleno,automatic,5.0,petrol,1197.0,36124.0,1.0,590000.0,,,,,
honda,amaze,automatic,1.0,petrol,1199.0,13137.0,1.0,917000.0,,,,,
tata,harrier,automatic,2.0,diesel,1956.0,27222.0,1.0,1765000.0,,,,,
maruti,ciaz,manual,5.0,petrol,1462.0,66068.0,1.0,663000.0,,,,,
maruti,wagon,manual,7.0,cng,998.0,110029.0,1.0,325000.0,,,,,
maruti,swift,manual,9.0,petrol,1197.0,65365.0,1.0,355000.0,,,,,
maruti,alto,manual,3.0,petrol,796.0,9171.0,2.0,358000.0,,,,,
tata,nexon,automatic,5.0,petrol,1198.0,61470.0,1.0,713000.0,,,,,
tata,altroz,automatic,2.0,petrol,1199.0,24933.0,1.0,789000.0,,,,,
maruti,dzire,manual,4.0,petrol,1197.0,61172.0,2.0,541000.0,,,,,
honda,amaze,manual,9.0,petrol,1198.0,44993.0,1.0,356000.0,,,,,
maruti,swift,manual,11.0,petrol,1197.0,61671.0,1.0,282000.0,,,,,
tata,nexon,automatic,2.0,petrol,1199.0,13124.0,1.0,967000.0,,,,,
maruti,new,manual,4.0,cng,998.0,18852.0,1.0,516000.0,,,,,
maruti,ciaz,automatic,7.0,cng,1373.0,90034.0,2.0,644000.0,,,,,
maruti,vitara,automatic,5.0,diesel,1248.0,59343.0,2.0,634000.0,,,,,
honda,amaze,manual,9.0,petrol,1198.0,41525.0,1.0,349000.0,,,,,
hyundai,creta,manual,8.0,petrol,1591.0,45368.0,1.0,655000.0,,,,,
maruti,ciaz,manual,10.0,petrol,1373.0,58546.0,1.0,404000.0,,,,,
hyundai,grand,manual,8.0,cng,1197.0,57121.0,3.0,396000.0,,,,,
tata,tigor,manual,3.0,petrol,1199.0,24927.0,1.0,515000.0,,,,,
mahindra,xuv300,manual,5.0,petrol,1197.0,39926.0,1.0,829000.0,,,,,
maruti,swift,manual,7.0,petrol,1197.0,61039.0,1.0,419000.0,,,,,
jeep,compass,manual,5.0,petrol,1368.0,59431.0,1.0,1149000.0,,,,,
maruti,ignis,automatic,2.0,petrol,1197.0,36051.0,1.0,663000.0,,,,,
honda,amaze,manual,8.0,petrol,1198.0,52996.0,1.0,410000.0,,,,,
maruti,baleno,manual,5.0,cng,1197.0,47849.0,2.0,537000.0,,,,,
maruti,swift,manual,9.0,petrol,1197.0,59365.0,1.0,372000.0,,,,,
tata,nexon,automatic,2.0,diesel,1497.0,19703.0,1.0,1053000.0,,,,,
renault,kwid,manual,4.0,petrol,799.0,62083.0,1.0,356000.0,,,,,
maruti,s,manual,4.0,petrol,998.0,15966.0,1.0,392000.0,,,,,
hyundai,elite,manual,8.0,petrol,1197.0,74240.0,1.0,448000.0,,,,,
nissan,magnite,automatic,2.0,petrol,999.0,42637.0,1.0,795000.0,,,,,
mg,hector,automatic,4.0,petrol,1451.0,50365.0,2.0,1246000.0,,,,,
tata,tigor,manual,4.0,petrol,1199.0,73158.0,1.0,479000.0,,,,,
hyundai,i20,manual,10.0,petrol,1197.0,78713.0,1.0,347000.0,,,,,
tata,nexon,manual,7.0,petrol,1198.0,82375.0,1.0,590000.0,,,,,
maruti,swift,manual,7.0,petrol,1197.0,23582.0,1.0,438000.0,,,,,
tata,tigor,manual,4.0,petrol,,38544.0,2.0,524000.0,,,,,
